Reference_Text,Ground_Truth,Predicted_Summary
"ClinicalTrials.gov - Question - general information.
 My fathers 85 and has severe hearing loss - he has tried hearing aids which at first helped but loss has become worst - has loss the hearing on one ear - hearing aids seem to cause him lots of pain
I now see that he now can't hear and is becoming isolated, which concerns me and makes me very sad and afraid he'll become very depress and not care. If you can't help us can you please direct me somewhere for help.
We live in the los angeles area
Thank you [NAME].  [CONTACT]",What are the treatments for hearing loss aside for hearing aids?,"What are the best treatments for severe hearing loss in elderly individuals, particularly those who have tried hearing aids without success and are experiencing increased isolation and depression?"
"SUBJECT: Hair loss Information Required
MESSAGE: Can you provide something to help grow my hair back? I need my hair back as im the spitting double of Dr evil with no hair.",What are the treatments for hair loss?,Can you provide something to help grow my hair back?
"SUBJECT: glossopharyngeal neuralgia
MESSAGE: how long would i take the medication. what is the success rate of surgery. can you tell me how much radiation method work and where is the treatment available in [LOCATION]",What are the treatments and their success rates for glossopharyngeal neuralgia?,"How long would I take the medication, what is the success rate of surgery, can you tell me how much radiation therapy works, and where is the treatment available in [LOCATION]?"
"SUBJECT: ClinicalTrials.gov - General Complaint
MESSAGE: Dear sir/ madam. I am a patient suffering from Friedreich's ataxia and i heard there was a medicine for it. In 2009 and since we are looking for the medicine kindly help on this and I have DNA report could You please help us on this as there are two people respective age 22 years and 24 years suffering from it. Looking for your help on this ASAP and please let us know when the medicine will be there in market and attaching two files for your reference",What are the treatments for friedreich's ataxia?,Is there a medicine for Friedreich's ataxia?
MESSAGE: to Anyone   What can one do if they have no feeling in there feet ? [NAME],What are the treatment for sensory loss in legs?,What can one do if they have no feeling in their feet?
"SUBJECT: DailyMed Feedback
MESSAGE: sir, HELP ME OVERCOME INCESSANT FLATULENCE I am suffering from the above for a year now. Please help me have medical solutions. Thank you",What are the treatments for flatulance?,Can you help me overcome incessant flatulence?
Fibrodysplasia Ossificans Progressiva. I just received a new patient at the age of 3 years old with the diagnosis Fibrodysplasia Ossificans Progressiva.  She has spent the last several months in [LOCATION] and has come back to this country for financial reasons.  I am one of two pediatricians in the county and the closest pediatric specialist are between 1.5 to 3 hours away.  I would like the specialists that are recommended for the condition and if OT or PT is helpful for the patient.,"What are the treatments for fibrodysplasia ossificans progressiva, and how can I find physician(s) or hospital(s) who specialize in it?","What are the recommended specialists and treatments for a 3-year-old patient diagnosed with Fibrodysplasia Ossificans Progressiva, who has spent several months in [LOCATION] and is now seeking care in a remote location due to financial reasons?"
"solve the erectio problem.
 sir, some time my penis erect and some time it does not work . So please help me . My contect nomber is [CONTACT]",What are the treatments for erectile dysfunction?,Can you help me with my erectile dysfunction?
"errection problem.
 I have errection problem,Iam 52 years old I get errection it looses when I go for intercoarse pl suggest me medicine",What are the treatments for erectile dysfunction?,I have erection problem...I get erection it loses when I go for intercourse...
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: SIR/MADAM
I READ DETAILS OF MY PROBLEM FROM INTERNET THAT'S WHY I AM GOING TO HAVE IN TOUCH WITH YOUR SITE. I AM HAVING A PROBLEM IN WALKING AND CAN NOT PUT MY FEET PROPERLY FOR WALKING MY LEFT LEG FINGER'S LAYED FIRST ON FLOOR . I JUST HAVING THIS PROBLEM FROM LAST FIVE YEARS JUST BECAUSE I HAD WITH AN ACCIDENT AND I GOT A  INJURY IN HEAD ALSO. I EVEN HAD PHYSIOTHERAPY FOR ALL AROUND THREE YEARS BUT STILL I AM FACING THIS PROBLEM. PLEASE HELP ME .",What are the treatments for difficulty in walking after head injury?,"I am experiencing difficulty walking due to a problem with my left leg, where my foot cannot properly place on the floor. I have been experiencing this problem for the past five years, since an accident and head injury, and have undergone physiotherapy for three years, but the problem persists. Please help me."
"SUBJECT: Short Height Of My Daughter
MESSAGE: My Daughter is 12 years old and her height is 105 cm and weight is 15 kg. I want to consult about her growth overall . can you suggest some medicine or anything else.",What are the treatments for delayed growth?,"What can I do to help my 12-year-old daughter, who is 105 cm tall and weighs 15 kg, grow taller and reach a healthy weight?"
"my mom 75 old suffering from cryptococcal menimgtisneef an assisstance.
 I am desperate looking for a strong medicine that can help mom she is suffering from cryptococcal meningitis she is 75 years  old",What are the treatments for cryptococcal meningitis?,What is the best medicine for a 75-year-old woman suffering from cryptococcal meningitis?
"SUBJECT: Blood in cough
MESSAGE: before some time i vomit. and blood came in cough with vomit.  what to do . it happens 4-5 times.  when i ask to doc reply that its throat infection.  please advice home remedy for this.",What are the treatments for coughing up blood?,What should I do for blood in cough and vomiting with throat infection?
"SUBJECT: úlcera bucal por efectos de la radio terapia
MESSAGE: What should I do if I have a cold sore? and treatments I use",What are the treatments for cold sore?,What should I do if I have a cold sore?
"May I can find a cure for my case in therapeutic your center that I have an infection chronic granulomatous Mastitis take and how much the treatment period. Please advise me of the post by you.to this my Email
Note : that I have all the medical reports and tests for this disease ???
this case of my wife and can be send your comment by below E-mail",What are the treatments for chronic granulomatous mastitis?,Can I find a cure for my chronic granulomatous mastitis infection at your center? How long is the treatment period? Please advise me on how to send my medical reports and tests for this disease.
